Rank,Name,Country
4,University of Oxford,United Kingdom
6,ETH Zurich - Swiss Federal Institute of Technology,Switzerland
7,University of Cambridge,United Kingdom
8,UCL,United Kingdom
9,Imperial College London,United Kingdom
18,EPFL - Ecole Polytechnique Federale de Lausanne,Switzerland
20,The University of Edinburgh,United Kingdom
27,The University of Manchester,United Kingdom
33,King's College London,United Kingdom
44,The London School of Economics and Political Science (LSE),United Kingdom
49,University of Bristol,United Kingdom
50,Delft University of Technology,Netherlands
53,Université PSL,France
55,Technical University of Munich,Germany
60,Ecole Polytechnique,France
62,The University of Warwick,United Kingdom
63,Ludwig-Maximilians-Universität München,Germany
64,University of Amsterdam,Netherlands
66,Ruprecht-Karls-Universität Heidelberg,Germany
67,University of Glasgow,United Kingdom
76,University of Zurich,Switzerland
77,Sorbonne University,France
78,Durham University,United Kingdom
78,The University of Sheffield,United Kingdom
80,KU Leuven,Belgium
81,University of Copenhagen,Denmark
81,University of Birmingham,United Kingdom
84,Lomonosov Moscow State University,Russia
92,Lund University,Sweden
93,University of Leeds,United Kingdom
96,University of Nottingham,United Kingdom
97,University of Southampton,United Kingdom
98,KTH Royal Institute of Technology,Sweden
100,University of St Andrews,United Kingdom
102,Eindhoven University of Technology,Netherlands
107,University of Helsinki,Finland
108,"Trinity College Dublin, The University of Dublin",Ireland
110,University of Geneva,Switzerland
112,Technical University of Denmark,Denmark
114,University of Groningen,Netherlands
116,Uppsala University,Sweden
118,Leiden University,Netherlands
119,University of Oslo,Norway
120,Humboldt-Universität zu Berlin,Germany
120,Utrecht University,Netherlands
123,University of Bern,Switzerland
124,"KIT, Karlsruhe Institute of Technology",Germany
125,Wageningen University & Research,Netherlands
125,Chalmers University of Technology,Sweden
126,Queen Mary University of London,United Kingdom
128,Lancaster University,United Kingdom
130,Freie Universitaet Berlin,Germany
130,Ghent University,Belgium
134,Aalto University,Finland
138,RWTH Aachen University,Germany
139,CentraleSupélec,France
145,Aarhus University,Denmark
146,Newcastle University,United Kingdom
147,Technische Universität Berlin (TU Berlin),Germany
148,University of York,United Kingdom
149,Politecnico di Milano,Italy
151,University of Basel,Switzerland
153,University of Lausanne,Switzerland
154,Cardiff University,United Kingdom
154,University of Vienna,Austria
160,École Normale Supérieure de Lyon,France
163,University of Bergen,Norway
163,The University of Exeter,United Kingdom
165,Universitat de Barcelona,Spain
167,Université catholique de Louvain (UCLouvain),Belgium
169,Eberhard Karls Universität Tübingen,Germany
169,Albert-Ludwigs-Universitaet Freiburg,Germany
172,University of Bath,United Kingdom
173,Queen's University Belfast,United Kingdom
177,Sant'Anna - Scuola Universitaria Superiore Pisa,Italy
177,Alma Mater Studiorum - University of Bologna,Italy
179,Technische Universität Dresden,Germany
181,University of Liverpool,United Kingdom
183,Erasmus University Rotterdam,Netherlands
185,University College Dublin,Ireland
186,University of Twente,Netherlands
188,Universitat Autònoma de Barcelona,Spain
191,Stockholm University,Sweden
192,Vienna University of Technology,Austria
192,Universidad Autónoma de Madrid,Spain
194,University of Aberdeen,United Kingdom
195,Vrije Universiteit Brussel (VUB),Belgium
197,University of Göttingen,Germany
203,Sapienza University of Rome,Italy
204,Scuola Normale Superiore di Pisa,Italy
205,University of Reading,United Kingdom
212,Complutense University of Madrid,Spain
217,Radboud University,Netherlands
219,Vrije Universiteit Amsterdam,Netherlands
222,Loughborough University,United Kingdom
223,University of Antwerp,Belgium
224,TELECOM ParisTech,France
227,Universität Hamburg,Germany
231,Novosibirsk State University,Russia
234,Saint Petersburg State University,Russia
